note_num,hertz,octave,note_flat,note_sharp
1,16.35,0,C,C
2,17.32,0,Db,C#
3,18.35,0,D,D
4,19.45,0,Eb,D#
5,20.6,0,E,E
6,21.83,0,F,F
7,23.12,0,Gb,F#
8,24.5,0,G,G
9,25.96,0,Ab,G#
10,27.5,0,A,A
11,29.14,0,Bb,A#
12,30.87,0,B,B
13,32.7,1,C,C
14,34.65,1,Db,C#
15,36.71,1,D,D
16,38.89,1,Eb,D#
17,41.2,1,E,E
18,43.65,1,F,F
19,46.25,1,Gb,F#
20,49,1,G,G
21,51.91,1,Ab,G#
22,55,1,A,A
23,58.27,1,Bb,A#
24,61.74,1,B,B
25,65.41,2,C,C
26,69.3,2,Db,C#
27,73.42,2,D,D
28,77.78,2,Eb,D#
29,82.41,2,E,E
30,87.31,2,F,F
31,92.5,2,Gb,F#
32,98,2,G,G
33,103.83,2,Ab,G#
34,110,2,A,A
35,116.54,2,Bb,A#
36,123.47,2,B,B
37,130.81,3,C,C
38,138.59,3,Db,C#
39,146.83,3,D,D
40,155.56,3,Eb,D#
41,164.81,3,E,E
42,174.61,3,F,F
43,185,3,Gb,F#
44,196,3,G,G
45,207.65,3,Ab,G#
46,220,3,A,A
47,233.08,3,Bb,A#
48,246.94,3,B,B
49,261.63,4,C,C
50,277.18,4,Db,C#
51,293.66,4,D,D
52,311.13,4,Eb,D#
53,329.63,4,E,E
54,349.23,4,F,F
55,369.99,4,Gb,F#
56,392,4,G,G
57,415.3,4,Ab,G#
58,440,4,A,A
59,466.16,4,Bb,A#
60,493.88,4,B,B
61,523.25,5,C,C
62,554.37,5,Db,C#
63,587.33,5,D,D
64,622.25,5,Eb,D#
65,659.25,5,E,E
66,698.46,5,F,F
67,739.99,5,Gb,F#
68,783.99,5,G,G
69,830.61,5,Ab,G#
70,880,5,A,A
71,932.33,5,Bb,A#
72,987.77,5,B,B
73,1046.5,6,C,C
74,1108.73,6,Db,C#
75,1174.66,6,D,D
76,1244.51,6,Eb,D#
77,1318.51,6,E,E
78,1396.91,6,F,F
79,1479.98,6,Gb,F#
80,1567.98,6,G,G
81,1661.22,6,Ab,G#
82,1760,6,A,A
83,1864.66,6,Bb,A#
84,1975.53,6,B,B
85,2093,7,C,C
86,2217.46,7,Db,C#
87,2349.32,7,D,D
88,2489.02,7,Eb,D#
89,2637.02,7,E,E
90,2793.83,7,F,F
91,2959.96,7,Gb,F#
92,3135.96,7,G,G
93,3322.44,7,Ab,G#
94,3520,7,A,A
95,3729.31,7,Bb,A#
96,3951.07,7,B,B
97,4186.01,8,C,C
98,4434.92,8,Db,C#
99,4698.63,8,D,D
100,4978.03,8,Eb,D#
101,5274.04,8,E,E
102,5587.65,8,F,F
103,5919.91,8,Gb,F#
104,6271.93,8,G,G
105,6644.88,8,Ab,G#
106,7040,8,A,A
107,7458.62,8,Bb,A#
108,7902.13,8,B,B
